date,weightclass,fighter,rank
1/20/15,Flyweight,Kyoji Horiguchi,8
1/20/15,Flyweight,Chris Cariaso,9
1/20/15,Flyweight,Zach Makovsky,10
1/20/15,Flyweight,Timothy Elliott,11
1/20/15,Flyweight,Dustin Ortiz,12
1/20/15,Flyweight,Wilson Reis,13
1/20/15,Flyweight,Brad Pickett,14
1/20/15,Flyweight,Chico Camus,15
1/20/15,Bantamweight,T.J. Dillashaw,0
1/20/15,Bantamweight,Renan Barao,1
1/20/15,Bantamweight,Dominick Cruz,2
1/20/15,Bantamweight,Urijah Faber,3
1/20/15,Bantamweight,Raphael Assuncao,4
1/20/15,Bantamweight,Michael McDonald,5
1/20/15,Bantamweight,Takeya Mizugaki,6
1/20/15,Bantamweight,Eddie Wineland,7
1/20/15,Bantamweight,Iuri Alcantara,8
1/20/15,Bantamweight,Johnny Eduardo,9
1/20/15,Bantamweight,Bryan Caraway,10
1/20/15,Bantamweight,Francisco Rivera,11
1/20/15,Bantamweight,Erik Perez,12
1/20/15,Bantamweight,Alex Caceres,13
1/20/15,Bantamweight,Mitch Gagnon,14
1/20/15,Bantamweight,Joe Soto,15
1/20/15,Featherweight,Jose Aldo,0
1/20/15,Featherweight,Chad Mendes,1
1/20/15,Featherweight,Frankie Edgar,2
1/20/15,Featherweight,Ricardo Lamas,3
1/20/15,Featherweight,Conor McGregor,4
1/20/15,Featherweight,Cub Swanson,5
1/20/15,Featherweight,Dennis Bermudez,6
1/20/15,Featherweight,Dustin Poirier,7
1/20/15,Featherweight,Nik Lentz,8
1/20/15,Featherweight,Charles Oliveira,9
1/20/15,Featherweight,Jeremy Stephens,10
1/20/15,Featherweight,Clay Guida,11
1/20/15,Featherweight,Dennis Siver,12
1/20/15,Featherweight,Max Holloway,13
1/20/15,Featherweight,Darren Elkins,14
1/20/15,Featherweight,Hacran Dias,15
1/20/15,Lightweight,Anthony Pettis,0
1/20/15,Lightweight,Rafael dos Anjos,1
1/20/15,Lightweight,Khabib Nurmagomedov,2
1/20/15,Lightweight,Donald Cerrone,3
1/20/15,Lightweight,Gilbert Melendez,4
1/20/15,Lightweight,Benson Henderson,5
1/20/15,Lightweight,Edson Barboza,6
1/20/15,Lightweight,Josh Thomson,7
1/20/15,Lightweight,Myles Jury,8
1/20/15,Lightweight,Bobby Green,9
1/20/15,Lightweight,Eddie Alvarez,10
1/20/15,Lightweight,Jim Miller,11
1/20/15,Lightweight,Michael Johnson,12
1/20/15,Lightweight,Jorge Masvidal,13
1/20/15,Lightweight,Nate Diaz,14
1/20/15,Lightweight,Rustam Khabilov,15
1/20/15,Welterweight,Robbie Lawler,0
1/20/15,Welterweight,Johny Hendricks,1
1/20/15,Welterweight,Rory MacDonald,2
1/20/15,Welterweight,Tyron Woodley,3
1/20/15,Welterweight,Carlos Condit,4
1/20/15,Welterweight,Hector Lombard,5
1/20/15,Welterweight,Matt Brown,6
1/20/15,Welterweight,Kelvin Gastelum,7
1/20/15,Welterweight,Demian Maia,8
1/20/15,Welterweight,Tarec Saffiedine,9
1/20/15,Welterweight,Dong Hyun Kim,10
1/20/15,Welterweight,Jake Ellenberger,11
1/20/15,Welterweight,Rick Story,12
1/20/15,Welterweight,Jordan Mein,13
1/20/15,Welterweight,Gunnar Nelson,14
1/20/15,Welterweight,Ryan LaFlare,15
1/20/15,Middleweight,Chris Weidman,0
1/20/15,Middleweight,Anderson Silva,1
1/20/15,Middleweight,Jacare Souza,2
1/20/15,Middleweight,Lyoto Machida,3
1/20/15,Middleweight,Vitor Belfort,4
1/20/15,Middleweight,Luke Rockhold,5
1/20/15,Middleweight,Yoel Romero,6
1/20/15,Middleweight,Tim Kennedy,7
1/20/15,Middleweight,Gegard Mousasi,8
1/20/15,Middleweight,Michael Bisping,9
1/20/15,Middleweight,CB Dollaway,10
1/20/15,Middleweight,Thales Leites,11
1/20/15,Middleweight,Costas Philippou,12
1/20/15,Middleweight,Mark Munoz,13
1/20/15,Middleweight,Tim Boetsch,14
1/20/15,Middleweight,Brad Tavares,15
1/20/15,Light Heavyweight,Jon Jones,0
1/20/15,Light Heavyweight,Alexander Gustafsson,1
1/20/15,Light Heavyweight,Daniel Cormier,2
1/20/15,Light Heavyweight,Anthony Johnson,3
1/20/15,Light Heavyweight,Rashad Evans,4
1/20/15,Light Heavyweight,Phil Davis,5
1/20/15,Light Heavyweight,Glover Teixeira,6
1/20/15,Light Heavyweight,Ryan Bader,7
1/20/15,Light Heavyweight,Ovince Saint Preux,8
1/20/15,Light Heavyweight,Dan Henderson,9
1/20/15,Light Heavyweight,Jimi Manuwa,10
1/20/15,Light Heavyweight,Mauricio Rua,11
1/20/15,Light Heavyweight,Rafael Cavalcante,12
1/20/15,Light Heavyweight,Fabio Maldonado,13
1/20/15,Light Heavyweight,Antonio Rogerio Nogueira,14
1/20/15,Light Heavyweight,Patrick Cummins,15
1/20/15,Heavyweight,Cain Velasquez,0
1/20/15,Heavyweight,Fabricio Werdum,1
1/20/15,Heavyweight,Junior Dos Santos,2
1/20/15,Heavyweight,Travis Browne,3
1/20/15,Heavyweight,Stipe Miocic,4
1/20/15,Heavyweight,Mark Hunt,5
1/20/15,Heavyweight,Josh Barnett,6
1/20/15,Heavyweight,Andrei Arlovski,7
1/20/15,Heavyweight,Bigfoot Silva,8
1/20/15,Heavyweight,Roy Nelson,9
1/20/15,Heavyweight,Ben Rothwell,10
1/20/15,Heavyweight,Alistair Overeem,11
1/20/15,Heavyweight,Matt Mitrione,12
1/20/15,Heavyweight,Frank Mir,13
1/20/15,Heavyweight,Gabriel Gonzaga,14
1/20/15,Heavyweight,Stefan Struve,15
1/20/15,Women's Strawweight,Carla Esparza,0
1/20/15,Women's Strawweight,Joanna Jedrzejczyk,1
1/20/15,Women's Strawweight,Claudia Gadelha,2
1/20/15,Women's Strawweight,Jessica Penne,3
1/20/15,Women's Strawweight,Rose Namajunas,4
1/20/15,Women's Strawweight,Joanne Calderwood,5
1/20/15,Women's Strawweight,Tecia Torres,6
1/20/15,Women's Strawweight,Randa Markos,7
1/20/15,Women's Strawweight,Felice Herrig,8
1/20/15,Women's Strawweight,Aisling Daly,9
1/20/15,Women's Strawweight,Paige VanZant,10
1/20/15,Women's Strawweight,Heather Clark,11
1/20/15,Women's Strawweight,Juliana Lima,12
1/20/15,Women's Strawweight,Angela Hill,13
1/20/15,Women's Strawweight,Seohee Ham,14
1/20/15,Women's Strawweight,Bec Rawlings,15
1/20/15,Women's Bantamweight,Ronda Rousey,0
1/20/15,Women's Bantamweight,Cat Zingano,1
1/20/15,Women's Bantamweight,Miesha Tate,2
1/20/15,Women's Bantamweight,Sara McMann,3
1/20/15,Women's Bantamweight,Alexis Davis,4
1/20/15,Women's Bantamweight,Sarah Kaufman,5
1/20/15,Women's Bantamweight,Jessica Eye,6
1/20/15,Women's Bantamweight,Liz Carmouche,7
1/20/15,Women's Bantamweight,Bethe Correia,8
1/20/15,Women's Bantamweight,Amanda Nunes,9
1/20/15,Women's Bantamweight,Jessica Andrade,10
1/20/15,Women's Bantamweight,Julianna Pena,11
1/20/15,Women's Bantamweight,Raquel Pennington,12
1/20/15,Women's Bantamweight,Germaine de Randamie,13
1/20/15,Women's Bantamweight,Holly Holm,14
1/20/15,Women's Bantamweight,Leslie Smith,15
1/26/15,Pound-for-Pound,Jon Jones,1
1/26/15,Pound-for-Pound,Jose Aldo,2
1/26/15,Pound-for-Pound,Demetrious Johnson,3
1/26/15,Pound-for-Pound,Chris Weidman,4
1/26/15,Pound-for-Pound,Anthony Pettis,5
1/26/15,Pound-for-Pound,Cain Velasquez,6
1/26/15,Pound-for-Pound,Ronda Rousey,7
1/26/15,Pound-for-Pound,T.J. Dillashaw,8
1/26/15,Pound-for-Pound,Anderson Silva,9
1/26/15,Pound-for-Pound,Renan Barao,10
1/26/15,Pound-for-Pound,Robbie Lawler,11
1/26/15,Pound-for-Pound,Johny Hendricks,12
1/26/15,Pound-for-Pound,Vitor Belfort,13
1/26/15,Pound-for-Pound,Dominick Cruz,14
1/26/15,Pound-for-Pound,Fabricio Werdum,15
1/26/15,Flyweight,Demetrious Johnson,0
1/26/15,Flyweight,John Dodson,1
1/26/15,Flyweight,Joseph Benavidez,2
1/26/15,Flyweight,Ian McCall,3
1/26/15,Flyweight,John Moraga,4
1/26/15,Flyweight,Jussier Formiga,5
1/26/15,Flyweight,John Lineker,6
1/26/15,Flyweight,Ali Bagautinov,7
1/26/15,Flyweight,Kyoji Horiguchi,8
1/26/15,Flyweight,Chris Cariaso,9
1/26/15,Flyweight,Zach Makovsky,10
1/26/15,Flyweight,Timothy Elliott,11
1/26/15,Flyweight,Dustin Ortiz,12
1/26/15,Flyweight,Brad Pickett,13
1/26/15,Flyweight,Wilson Reis,14
1/26/15,Flyweight,Chico Camus,15
1/26/15,Bantamweight,T.J. Dillashaw,0
1/26/15,Bantamweight,Renan Barao,1
1/26/15,Bantamweight,Dominick Cruz,2
1/26/15,Bantamweight,Urijah Faber,3
1/26/15,Bantamweight,Raphael Assuncao,4
1/26/15,Bantamweight,Michael McDonald,5
1/26/15,Bantamweight,Takeya Mizugaki,6
1/26/15,Bantamweight,Eddie Wineland,7
1/26/15,Bantamweight,Iuri Alcantara,8
1/26/15,Bantamweight,Johnny Eduardo,9
1/26/15,Bantamweight,Bryan Caraway,10
1/26/15,Bantamweight,Francisco Rivera,11
1/26/15,Bantamweight,Erik Perez,12
1/26/15,Bantamweight,Alex Caceres,13
1/26/15,Bantamweight,Mitch Gagnon,14
1/26/15,Bantamweight,Joe Soto,15
1/26/15,Featherweight,Jose Aldo,0
1/26/15,Featherweight,Chad Mendes,1
1/26/15,Featherweight,Frankie Edgar,2
1/26/15,Featherweight,Conor McGregor,3
1/26/15,Featherweight,Ricardo Lamas,4
1/26/15,Featherweight,Cub Swanson,5
1/26/15,Featherweight,Dennis Bermudez,6
1/26/15,Featherweight,Dustin Poirier,7
1/26/15,Featherweight,Nik Lentz,8
1/26/15,Featherweight,Charles Oliveira,9
1/26/15,Featherweight,Jeremy Stephens,10
1/26/15,Featherweight,Dennis Siver,11
1/26/15,Featherweight,Clay Guida,12
1/26/15,Featherweight,Max Holloway,13
1/26/15,Featherweight,Darren Elkins,14
1/26/15,Featherweight,Hacran Dias,15
1/26/15,Lightweight,Anthony Pettis,0
1/26/15,Lightweight,Rafael dos Anjos,1
1/26/15,Lightweight,Khabib Nurmagomedov,2
1/26/15,Lightweight,Donald Cerrone,3
1/26/15,Lightweight,Gilbert Melendez,4
1/26/15,Lightweight,Benson Henderson,5
1/26/15,Lightweight,Edson Barboza,6
1/26/15,Lightweight,Josh Thomson,7
1/26/15,Lightweight,Myles Jury,8
1/26/15,Lightweight,Bobby Green,9
1/26/15,Lightweight,Eddie Alvarez,10
1/26/15,Lightweight,Jim Miller,11
1/26/15,Lightweight,Michael Johnson,12
1/26/15,Lightweight,Jorge Masvidal,13
1/26/15,Lightweight,Nate Diaz,14
1/26/15,Lightweight,Rustam Khabilov,15
1/26/15,Welterweight,Robbie Lawler,0
1/26/15,Welterweight,Johny Hendricks,1
1/26/15,Welterweight,Rory MacDonald,2
1/26/15,Welterweight,Tyron Woodley,3
1/26/15,Welterweight,Carlos Condit,4
1/26/15,Welterweight,Hector Lombard,5
1/26/15,Welterweight,Matt Brown,6
1/26/15,Welterweight,Kelvin Gastelum,7
1/26/15,Welterweight,Demian Maia,8
1/26/15,Welterweight,Tarec Saffiedine,9
1/26/15,Welterweight,Dong Hyun Kim,10
1/26/15,Welterweight,Jake Ellenberger,11
1/26/15,Welterweight,Rick Story,12
1/26/15,Welterweight,Jordan Mein,13
1/26/15,Welterweight,Gunnar Nelson,14
1/26/15,Welterweight,Ryan LaFlare,15
1/26/15,Middleweight,Chris Weidman,0
1/26/15,Middleweight,Anderson Silva,1
1/26/15,Middleweight,Jacare Souza,2
1/26/15,Middleweight,Lyoto Machida,3
1/26/15,Middleweight,Vitor Belfort,4
1/26/15,Middleweight,Luke Rockhold,5
1/26/15,Middleweight,Yoel Romero,6
1/26/15,Middleweight,Gegard Mousasi,7
1/26/15,Middleweight,Tim Kennedy,8
1/26/15,Middleweight,Michael Bisping,9
1/26/15,Middleweight,CB Dollaway,10
1/26/15,Middleweight,Thales Leites,11
1/26/15,Middleweight,Costas Philippou,12
1/26/15,Middleweight,Tim Boetsch,13
1/26/15,Middleweight,Mark Munoz,14
1/26/15,Middleweight,Brad Tavares,15
1/26/15,Light Heavyweight,Jon Jones,0
1/26/15,Light Heavyweight,Anthony Johnson,1
1/26/15,Light Heavyweight,Alexander Gustafsson,2
1/26/15,Light Heavyweight,Daniel Cormier,3
1/26/15,Light Heavyweight,Rashad Evans,4
1/26/15,Light Heavyweight,Ryan Bader,5
1/26/15,Light Heavyweight,Glover Teixeira,6
1/26/15,Light Heavyweight,Phil Davis,6
1/26/15,Light Heavyweight,Ovince Saint Preux,8
1/26/15,Light Heavyweight,Jimi Manuwa,9
1/26/15,Light Heavyweight,Mauricio Rua,10
1/26/15,Light Heavyweight,Rafael Cavalcante,11
1/26/15,Light Heavyweight,Dan Henderson,12
1/26/15,Light Heavyweight,Antonio Rogerio Nogueira,13
1/26/15,Light Heavyweight,Fabio Maldonado,14
1/26/15,Light Heavyweight,Patrick Cummins,15
1/26/15,Heavyweight,Cain Velasquez,0
1/26/15,Heavyweight,Fabricio Werdum,1
1/26/15,Heavyweight,Junior Dos Santos,2
1/26/15,Heavyweight,Travis Browne,3
1/26/15,Heavyweight,Stipe Miocic,4
1/26/15,Heavyweight,Mark Hunt,5
1/26/15,Heavyweight,Josh Barnett,6
1/26/15,Heavyweight,Andrei Arlovski,7
1/26/15,Heavyweight,Antonio Silva,8
1/26/15,Heavyweight,Roy Nelson,9
1/26/15,Heavyweight,Ben Rothwell,10
1/26/15,Heavyweight,Alistair Overeem,11
1/26/15,Heavyweight,Matt Mitrione,12
1/26/15,Heavyweight,Frank Mir,13
1/26/15,Heavyweight,Gabriel Gonzaga,14
1/26/15,Heavyweight,Stefan Struve,15
1/26/15,Women's Strawweight,Carla Esparza,0
1/26/15,Women's Strawweight,Joanna Jedrzejczyk,1
1/26/15,Women's Strawweight,Claudia Gadelha,2
1/26/15,Women's Strawweight,Jessica Penne,3
1/26/15,Women's Strawweight,Rose Namajunas,4
1/26/15,Women's Strawweight,Tecia Torres,5
1/26/15,Women's Strawweight,Joanne Calderwood,6
1/26/15,Women's Strawweight,Randa Markos,7
1/26/15,Women's Strawweight,Felice Herrig,8
1/26/15,Women's Strawweight,Aisling Daly,9
1/26/15,Women's Strawweight,Paige VanZant,10
1/26/15,Women's Strawweight,Heather Clark,11
1/26/15,Women's Strawweight,Juliana Lima,12
1/26/15,Women's Strawweight,Angela Hill,13
1/26/15,Women's Strawweight,Seohee Ham,14
1/26/15,Women's Strawweight,Bec Rawlings,15
1/26/15,Women's Bantamweight,Ronda Rousey,0
1/26/15,Women's Bantamweight,Cat Zingano,1
1/26/15,Women's Bantamweight,Miesha Tate,2
1/26/15,Women's Bantamweight,Sara McMann,3
1/26/15,Women's Bantamweight,Alexis Davis,4
1/26/15,Women's Bantamweight,Sarah Kaufman,5
1/26/15,Women's Bantamweight,Jessica Eye,6
1/26/15,Women's Bantamweight,Liz Carmouche,7
1/26/15,Women's Bantamweight,Bethe Correia,8
1/26/15,Women's Bantamweight,Amanda Nunes,9
1/26/15,Women's Bantamweight,Jessica Andrade,10
1/26/15,Women's Bantamweight,Julianna Pena,11
1/26/15,Women's Bantamweight,Raquel Pennington,12
1/26/15,Women's Bantamweight,Holly Holm,13
1/26/15,Women's Bantamweight,Germaine de Randamie,14
1/26/15,Women's Bantamweight,Leslie Smith,15
2/2/15,Pound-for-Pound,Jon Jones,1
2/2/15,Pound-for-Pound,Jose Aldo,2
2/2/15,Pound-for-Pound,Demetrious Johnson,3
2/2/15,Pound-for-Pound,Chris Weidman,4
2/2/15,Pound-for-Pound,Anthony Pettis,5
2/2/15,Pound-for-Pound,Cain Velasquez,6
2/2/15,Pound-for-Pound,Ronda Rousey,7
2/2/15,Pound-for-Pound,Anderson Silva,8
2/2/15,Pound-for-Pound,T.J. Dillashaw,9
2/2/15,Pound-for-Pound,Robbie Lawler,10
2/2/15,Pound-for-Pound,Renan Barao,11
2/2/15,Pound-for-Pound,Johny Hendricks,12
2/2/15,Pound-for-Pound,Vitor Belfort,13
2/2/15,Pound-for-Pound,Dominick Cruz,14
2/2/15,Pound-for-Pound,Fabricio Werdum,15
2/2/15,Flyweight,Demetrious Johnson,0
2/2/15,Flyweight,John Dodson,1
2/2/15,Flyweight,Joseph Benavidez,2
2/2/15,Flyweight,Ian McCall,3
2/2/15,Flyweight,John Moraga,4
2/2/15,Flyweight,Jussier Formiga,5
2/2/15,Flyweight,Ali Bagautinov,6
2/2/15,Flyweight,John Lineker,7
2/2/15,Flyweight,Kyoji Horiguchi,8
2/2/15,Flyweight,Chris Cariaso,9
2/2/15,Flyweight,Zach Makovsky,10
2/2/15,Flyweight,Timothy Elliott,11
2/2/15,Flyweight,Dustin Ortiz,12
2/2/15,Flyweight,Brad Pickett,13
2/2/15,Flyweight,Wilson Reis,14
2/2/15,Flyweight,Chico Camus,15
2/2/15,Bantamweight,T.J. Dillashaw,0
2/2/15,Bantamweight,Renan Barao,1
2/2/15,Bantamweight,Dominick Cruz,2
2/2/15,Bantamweight,Urijah Faber,3
2/2/15,Bantamweight,Raphael Assuncao,4
2/2/15,Bantamweight,Michael McDonald,5
2/2/15,Bantamweight,Eddie Wineland,6
2/2/15,Bantamweight,Takeya Mizugaki,7
2/2/15,Bantamweight,Iuri Alcantara,8
2/2/15,Bantamweight,Johnny Eduardo,9
2/2/15,Bantamweight,Bryan Caraway,10
2/2/15,Bantamweight,Francisco Rivera,11
2/2/15,Bantamweight,Erik Perez,12
2/2/15,Bantamweight,Alex Caceres,13
2/2/15,Bantamweight,Mitch Gagnon,14
2/2/15,Bantamweight,Joe Soto,15
2/2/15,Featherweight,Jose Aldo,0
2/2/15,Featherweight,Frankie Edgar,1
2/2/15,Featherweight,Chad Mendes,2
2/2/15,Featherweight,Conor McGregor,3
2/2/15,Featherweight,Ricardo Lamas,4
2/2/15,Featherweight,Cub Swanson,5
2/2/15,Featherweight,Dennis Bermudez,6
2/2/15,Featherweight,Dustin Poirier,7
2/2/15,Featherweight,Nik Lentz,8
2/2/15,Featherweight,Charles Oliveira,9
2/2/15,Featherweight,Jeremy Stephens,10
2/2/15,Featherweight,Clay Guida,11
2/2/15,Featherweight,Dennis Siver,12
2/2/15,Featherweight,Max Holloway,13
2/2/15,Featherweight,Darren Elkins,14
2/2/15,Featherweight,Hacran Dias,15
2/2/15,Lightweight,Anthony Pettis,0
2/2/15,Lightweight,Rafael dos Anjos,1
2/2/15,Lightweight,Khabib Nurmagomedov,2
2/2/15,Lightweight,Donald Cerrone,3
2/2/15,Lightweight,Gilbert Melendez,4
2/2/15,Lightweight,Benson Henderson,5
2/2/15,Lightweight,Edson Barboza,6
2/2/15,Lightweight,Josh Thomson,7
2/2/15,Lightweight,Myles Jury,8
2/2/15,Lightweight,Bobby Green,9
2/2/15,Lightweight,Eddie Alvarez,10
2/2/15,Lightweight,Jim Miller,11
2/2/15,Lightweight,Michael Johnson,12
2/2/15,Lightweight,Jorge Masvidal,13
2/2/15,Lightweight,Rustam Khabilov,14
2/2/15,Lightweight,Al Iaquinta,15
2/2/15,Welterweight,Robbie Lawler,0
2/2/15,Welterweight,Johny Hendricks,1
2/2/15,Welterweight,Rory MacDonald,2
2/2/15,Welterweight,Tyron Woodley,3
2/2/15,Welterweight,Carlos Condit,4
2/2/15,Welterweight,Hector Lombard,5
2/2/15,Welterweight,Matt Brown,6
2/2/15,Welterweight,Demian Maia,7
2/2/15,Welterweight,Tarec Saffiedine,8
2/2/15,Welterweight,Dong Hyun Kim,9
2/2/15,Welterweight,Kelvin Gastelum,10
2/2/15,Welterweight,Jake Ellenberger,11
2/2/15,Welterweight,Rick Story,12
2/2/15,Welterweight,Thiago Alves,13
2/2/15,Welterweight,Gunnar Nelson,14
2/2/15,Welterweight,Ryan LaFlare,15
2/2/15,Middleweight,Chris Weidman,0
2/2/15,Middleweight,Anderson Silva,1
2/2/15,Middleweight,Jacare Souza,2
2/2/15,Middleweight,Lyoto Machida,3
2/2/15,Middleweight,Vitor Belfort,4
2/2/15,Middleweight,Luke Rockhold,5
2/2/15,Middleweight,Yoel Romero,6
2/2/15,Middleweight,Gegard Mousasi,7
2/2/15,Middleweight,Tim Kennedy,8
2/2/15,Middleweight,Michael Bisping,9
2/2/15,Middleweight,Thales Leites,10
2/2/15,Middleweight,CB Dollaway,11
2/2/15,Middleweight,Costas Philippou,12
2/2/15,Middleweight,Mark Munoz,13
2/2/15,Middleweight,Tim Boetsch,14
2/2/15,Middleweight,Brad Tavares,15
2/2/15,Light Heavyweight,Jon Jones,0
2/2/15,Light Heavyweight,Anthony Johnson,1
2/2/15,Light Heavyweight,Alexander Gustafsson,2
2/2/15,Light Heavyweight,Daniel Cormier,3
2/2/15,Light Heavyweight,Rashad Evans,4
2/2/15,Light Heavyweight,Ryan Bader,5
2/2/15,Light Heavyweight,Glover Teixeira,6
2/2/15,Light Heavyweight,Phil Davis,7
2/2/15,Light Heavyweight,Ovince Saint Preux,8
2/2/15,Light Heavyweight,Jimi Manuwa,9
2/2/15,Light Heavyweight,Mauricio Rua,10
2/2/15,Light Heavyweight,Rafael Cavalcante,11
2/2/15,Light Heavyweight,Fabio Maldonado,12
2/2/15,Light Heavyweight,Antonio Rogerio Nogueira,13
2/2/15,Light Heavyweight,Patrick Cummins,14
2/2/15,Light Heavyweight,Dan Henderson,15
2/2/15,Heavyweight,Cain Velasquez,0
2/2/15,Heavyweight,Fabricio Werdum,1
2/2/15,Heavyweight,Junior Dos Santos,2
2/2/15,Heavyweight,Travis Browne,3
2/2/15,Heavyweight,Stipe Miocic,4
2/2/15,Heavyweight,Mark Hunt,5
2/2/15,Heavyweight,Josh Barnett,6
2/2/15,Heavyweight,Andrei Arlovski,7
2/2/15,Heavyweight,Antonio Silva,8
2/2/15,Heavyweight,Roy Nelson,9
2/2/15,Heavyweight,Ben Rothwell,10
2/2/15,Heavyweight,Alistair Overeem,11
2/2/15,Heavyweight,Matt Mitrione,12
2/2/15,Heavyweight,Frank Mir,13
2/2/15,Heavyweight,Gabriel Gonzaga,14
2/2/15,Heavyweight,Stefan Struve,15
2/2/15,Women's Strawweight,Carla Esparza,0
2/2/15,Women's Strawweight,Joanna Jedrzejczyk,1
2/2/15,Women's Strawweight,Claudia Gadelha,2
2/2/15,Women's Strawweight,Jessica Penne,3
2/2/15,Women's Strawweight,Rose Namajunas,4
2/2/15,Women's Strawweight,Tecia Torres,5
2/2/15,Women's Strawweight,Joanne Calderwood,6
2/2/15,Women's Strawweight,Randa Markos,7
2/2/15,Women's Strawweight,Felice Herrig,8
2/2/15,Women's Strawweight,Aisling Daly,9
2/2/15,Women's Strawweight,Paige VanZant,10
2/2/15,Women's Strawweight,Heather Clark,11
2/2/15,Women's Strawweight,Juliana Lima,12
2/2/15,Women's Strawweight,Angela Hill,13
2/2/15,Women's Strawweight,Seohee Ham,14
2/2/15,Women's Strawweight,Bec Rawlings,15
2/2/15,Women's Bantamweight,Ronda Rousey,0
2/2/15,Women's Bantamweight,Cat Zingano,1
2/2/15,Women's Bantamweight,Miesha Tate,2
2/2/15,Women's Bantamweight,Alexis Davis,3
2/2/15,Women's Bantamweight,Sara McMann,4
2/2/15,Women's Bantamweight,Sarah Kaufman,5
2/2/15,Women's Bantamweight,Jessica Eye,6
2/2/15,Women's Bantamweight,Bethe Correia,7
2/2/15,Women's Bantamweight,Liz Carmouche,8
2/2/15,Women's Bantamweight,Amanda Nunes,9
2/2/15,Women's Bantamweight,Jessica Andrade,10
2/2/15,Women's Bantamweight,Julianna Pena,11
2/2/15,Women's Bantamweight,Raquel Pennington,12
2/2/15,Women's Bantamweight,Holly Holm,13
2/2/15,Women's Bantamweight,Germaine de Randamie,14
2/2/15,Women's Bantamweight,Leslie Smith,15
2/16/15,Pound-for-Pound,Jon Jones,1
2/16/15,Pound-for-Pound,Jose Aldo,2
2/16/15,Pound-for-Pound,Demetrious Johnson,3
2/16/15,Pound-for-Pound,Chris Weidman,4
2/16/15,Pound-for-Pound,Anthony Pettis,5
2/16/15,Pound-for-Pound,Cain Velasquez,6
2/16/15,Pound-for-Pound,Ronda Rousey,7
2/16/15,Pound-for-Pound,TJ Dillashaw,8
2/16/15,Pound-for-Pound,Anderson Silva,9
2/16/15,Pound-for-Pound,Robbie Lawler,10
2/16/15,Pound-for-Pound,Renan Barao,11
2/16/15,Pound-for-Pound,Johny Hendricks,12
2/16/15,Pound-for-Pound,Vitor Belfort,13
2/16/15,Pound-for-Pound,Dominick Cruz,14
2/16/15,Pound-for-Pound,Fabricio Werdum,15
2/16/15,Flyweight,Demetrious Johnson,0
2/16/15,Flyweight,John Dodson,1
2/16/15,Flyweight,Joseph Benavidez,2
2/16/15,Flyweight,Ian McCall,3
2/16/15,Flyweight,Jussier Formiga,4
2/16/15,Flyweight,John Moraga,5
2/16/15,Flyweight,Ali Bagautinov,6
2/16/15,Flyweight,John Lineker,7
2/16/15,Flyweight,Kyoji Horiguchi,8
2/16/15,Flyweight,Zach Makovsky,9
2/16/15,Flyweight,Chris Cariaso,10
2/16/15,Flyweight,Dustin Ortiz,11
2/16/15,Flyweight,Timothy Elliott,12
2/16/15,Flyweight,Wilson Reis,13
2/16/15,Flyweight,Brad Pickett,14
2/16/15,Flyweight,Chico Camus,15
2/16/15,Bantamweight,TJ Dillashaw,0
2/16/15,Bantamweight,Renan Barao,1
2/16/15,Bantamweight,Dominick Cruz,2
2/16/15,Bantamweight,Urijah Faber,3
2/16/15,Bantamweight,Raphael Assuncao,4
2/16/15,Bantamweight,Michael McDonald,5
2/16/15,Bantamweight,Takeya Mizugaki,6
2/16/15,Bantamweight,Eddie Wineland,7
2/16/15,Bantamweight,Iuri Alcantara,8
2/16/15,Bantamweight,Johnny Eduardo,9
2/16/15,Bantamweight,Bryan Caraway,10
2/16/15,Bantamweight,Francisco Rivera,11
2/16/15,Bantamweight,Erik Perez,12
2/16/15,Bantamweight,Alex Caceres,13
2/16/15,Bantamweight,Mitch Gagnon,14
2/16/15,Bantamweight,Joe Soto,15
2/16/15,Featherweight,Jose Aldo,0
2/16/15,Featherweight,Frankie Edgar,1
2/16/15,Featherweight,Chad Mendes,2
2/16/15,Featherweight,Conor McGregor,3
2/16/15,Featherweight,Ricardo Lamas,4
2/16/15,Featherweight,Cub Swanson,5
2/16/15,Featherweight,Dennis Bermudez,6
2/16/15,Featherweight,Dustin Poirier,7
2/16/15,Featherweight,Nik Lentz,8
2/16/15,Featherweight,Charles Oliveira,9
2/16/15,Featherweight,Max Holloway,10
2/16/15,Featherweight,Jeremy Stephens,11
2/16/15,Featherweight,Clay Guida,12
2/16/15,Featherweight,Dennis Siver,13
2/16/15,Featherweight,Darren Elkins,14
2/16/15,Featherweight,Hacran Dias,15
2/16/15,Lightweight,Anthony Pettis,0
2/16/15,Lightweight,Rafael dos Anjos,1
2/16/15,Lightweight,Khabib Nurmagomedov,2
2/16/15,Lightweight,Donald Cerrone,3
2/16/15,Lightweight,Gilbert Melendez,4
2/16/15,Lightweight,Benson Henderson,5
2/16/15,Lightweight,Edson Barboza,6
2/16/15,Lightweight,Josh Thomson,7
2/16/15,Lightweight,Myles Jury,8
2/16/15,Lightweight,Bobby Green,9
2/16/15,Lightweight,Eddie Alvarez,10
2/16/15,Lightweight,Jim Miller,11
2/16/15,Lightweight,Michael Johnson,12
2/16/15,Lightweight,Jorge Masvidal,13
2/16/15,Lightweight,Rustam Khabilov,14
